(-227; -140)
(-201; -181)
(-184; -170)
(-171; -204)
(-121; -209)
(-113; -188)
(-187; -157)
(-156; -116)
(-210; -111)
(-216; -109)
(-87; -157)
(-99; -114)
(-100; -188)
(-15; -206)
(20; -208)
(108; -136)
(134; -108)
(205; -34)
(186; -38)
(181; -49)
(175; -65)
(129; -82)
(111; -54)
(-4; -150)
(55; -27)
(22; -31)
(4; -41)
(-50; -51)
(-40; -39)
(0; -15)
(97; 33)
(187; 26)
(207; 105)
(208; 222)
(160; 208)
(106; 136)
(95; 155)
(62; 120)
(54; 86)
(14; 132)
(-19; 136)
(-160; 245)
(-73; 126)
(-101; 101)
(-128; 76)
(-150; 46)
(-170; -28)
(-168; -56)
(-129; -16)
(-116; -37)
(-83; 12)
(-21; -12)
(85; 53)
(-149; -40)
(-168; -67)
